actual,proposed
418.3261413574219,5.211840629577637
435.3785095214844,5.57576322555542
438.7890319824219,5.994359016418457
442.1995544433594,6.3185648918151855
452.4309997558594,6.577766418457031
459.2519226074219,6.862296104431152
469.4833679199219,7.130809783935547
472.8938903808594,7.425866603851318
469.4833679199219,7.667353630065918
466.0728454589844,7.798216342926025
0.0,7.852787971496582
0.0,5.4853339195251465
0.0,3.8281331062316895
0.0,2.6732168197631836
0.0,1.8671073913574219
0.0,1.3035556077957153
0.0,0.9090045690536499
0.0,0.632530689239502
0.0,0.5
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5080205798149109
206.4216766357422,0.7092272043228149
230.29510498046875,0.9524559378623962
254.16851806640625,1.2380141019821167
271.22088623046875,1.5661182403564453
291.68377685546875,1.894550085067749
308.73626708984375,2.252396583557129
0.0,2.6163175106048584
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
