actual,proposed
-0.18482241034507751,-0.2115767002105713
-0.18221034109592438,-0.20265859365463257
-0.18025128543376923,-0.19584251940250397
-0.17829221487045288,-0.19064544141292572
-0.17502710223197937,-0.18652769923210144
-0.14439891278743744,-0.18269416689872742
-0.14330504834651947,-0.16992908716201782
-0.14057038724422455,-0.16105440258979797
-0.13947650790214539,-0.1542263925075531
-0.13783571124076843,-0.14930976927280426
-0.1481766253709793,-0.14638225734233856
-0.14639148116111755,-0.1465836763381958
-0.14579643309116364,-0.14651961624622345
-0.1446063369512558,-0.14627856016159058
-0.13512052595615387,-0.14572115242481232
-0.13456450402736664,-0.14218761026859283
-0.13456450402736664,-0.13964657485485077
-0.13512052595615387,-0.1379525512456894
-0.1356765478849411,-0.13700854778289795
-0.1373445987701416,-0.13656453788280487
-0.1592152863740921,-0.1368245631456375
-0.16178306937217712,-0.14428813755512238
-0.16370889544487,-0.15011978149414062
-0.16627667844295502,-0.15464948117733002
-0.1694863736629486,-0.15852521359920502
-0.17415045201778412,-0.16217893362045288
-0.17738714814186096,-0.1661694347858429
-0.18127115070819855,-0.16990867257118225
-0.18580244481563568,-0.17369616031646729
-0.19033372402191162,-0.17773158848285675
-0.22304661571979523,-0.18193230032920837
-0.23199686408042908,-0.1956370770931244
-0.2387094646692276,-0.20775699615478516
-0.24616777896881104,-0.2180744856595993
-0.25288015604019165,-0.22743892669677734
-0.2375815212726593,-0.23591932654380798
-0.2465582638978958,-0.23647339642047882
-0.25208231806755066,-0.23983502388000488
-0.25829681754112244,-0.24391745030879974
-0.26451119780540466,-0.24871057271957397
-0.26796358823776245,-0.2539774477481842
-0.2915705740451813,-0.25863948464393616
-0.29811280965805054,-0.2696165144443512
-0.30392804741859436,-0.2791152894496918
-0.30974313616752625,-0.2873862087726593
-0.31483128666877747,-0.2948385179042816
-0.30518847703933716,-0.3015027642250061
-0.3100423514842987,-0.30273133516311646
-0.31212255358695984,-0.3051683306694031
-0.31281596422195435,-0.3074864149093628
-0.3148961365222931,-0.3092629313468933
-0.3242836594581604,-0.31114065647125244
-0.3249899446964264,-0.3155216574668884
-0.3256962299346924,-0.31867775321006775
-0.3278150260448456,-0.32101723551750183
-0.3292275369167328,-0.3232831656932831
-0.3755992650985718,-0.3252646327018738
-0.37639978528022766,-0.34204283356666565
-0.3755992650985718,-0.35349515080451965
-0.3747987449169159,-0.36086320877075195
-0.27781012654304504,-0.36550837755203247
-0.2512248754501343,-0.3362756371498108
-0.2501375377178192,-0.30792537331581116
-0.24905018508434296,-0.28866276144981384
-0.2479628175497055,-0.27545857429504395
-0.24687547981739044,-0.26629331707954407
-0.2457880973815918,-0.25982069969177246
-0.22436940670013428,-0.2551431655883789
-0.22287051379680634,-0.24488525092601776
-0.2213716059923172,-0.23754699528217316
-0.21987269818782806,-0.2321552038192749
-0.21837379038333893,-0.2280610352754593
-0.24369306862354279,-0.2248319536447525
-0.24313294887542725,-0.23111899197101593
-0.24201272428035736,-0.2351236492395401
-0.24089248478412628,-0.2374200075864792
-0.2397722601890564,-0.23857749998569489
-0.2217925488948822,-0.23897574841976166
-0.22075141966342926,-0.2332480102777481
-0.2197103053331375,-0.22908248007297516
-0.21918973326683044,-0.22370219230651855
-0.19730335474014282,-0.22219803929328918
-0.19730335474014282,-0.21389980614185333
-0.19730335474014282,-0.20836766064167023
-0.1963639259338379,-0.20467954874038696
-0.19589421153068542,-0.201907679438591
-0.1949547827243805,-0.1999031901359558
-0.22265653312206268,-0.19825372099876404
-0.22372683882713318,-0.20638799667358398
-0.22533227503299713,-0.21216760575771332
-0.22640256583690643,-0.21655583381652832
-0.22693772614002228,-0.21983806788921356
-0.2030028998851776,-0.22220462560653687
-0.20347937941551208,-0.21580404043197632
-0.20395585894584656,-0.2116958200931549
-0.20395585894584656,-0.20911583304405212
-0.20490878820419312,-0.20739583671092987
-0.21461404860019684,-0.20656682550907135
-0.21511192619800568,-0.20924922823905945
-0.21560978889465332,-0.211203470826149
-0.216605544090271,-0.21267223358154297
-0.21710340678691864,-0.21398334205150604
-0.21809916198253632,-0.21502336859703064
-0.20324808359146118,-0.21604862809181213
-0.1600855439901352,-0.19454970955848694
-0.16044935584068298,-0.18318292498588562
-0.16117694973945618,-0.17572632431983948
-0.17954115569591522,-0.17087653279304504
-0.1799464076757431,-0.17376475036144257
-0.18035165965557098,-0.175825297832489
-0.18075689673423767,-0.17733408510684967
-0.18116213381290436,-0.178475022315979
-0.14241351187229156,-0.1793707311153412
-0.14273136854171753,-0.16705165803432465
-0.14336711168289185,-0.15894488990306854
-0.14432071149349213,-0.15375229716300964
-0.1452743113040924,-0.15060843527317047
-0.15014398097991943,-0.14883039891719818
-0.15144950151443481,-0.1492682546377182
-0.1527549922466278,-0.1499953418970108
-0.154060497879982,-0.1509152203798294
-0.15536600351333618,-0.15196365118026733
-0.15699787437915802,-0.15309776365756989
-0.14560621976852417,-0.15439780056476593
-0.14740370213985443,-0.15146727859973907
-0.14890159666538239,-0.14970903098583221
-0.15309572219848633,-0.15013891458511353
-0.15650251507759094,-0.151124507188797
-0.1586131751537323,-0.15291717648506165
-0.16102536022663116,-0.15481583774089813
-0.16343751549720764,-0.15906962752342224
-0.21907706558704376,-0.16143015027046204
-0.2222062647342682,-0.18064579367637634
-0.2249443084001541,-0.19449928402900696
-0.22846461832523346,-0.20464761555194855
-0.2319849133491516,-0.21258662641048431
-0.27835947275161743,-0.21905271708965302
-0.28113776445388794,-0.23882164061069489
-0.28391605615615845,-0.2529270052909851
-0.2871573567390442,-0.263256698846817
-0.29039862751960754,-0.2712235748767853
-0.3055165112018585,-0.2776152789592743
-0.3088887631893158,-0.28691568970680237
-0.3112974762916565,-0.2942400574684143
-0.3141879141330719,-0.29992586374282837
-0.3165965974330902,-0.30467987060546875
-0.2627622187137604,-0.3086521327495575
