actual,proposed
0.30000463128089905,0.3292527198791504
0.3015044629573822,0.3293134272098541
0.30300432443618774,0.329374760389328
0.3045041859149933,0.32943612337112427
0.30600404739379883,0.32949748635292053
0.30750390887260437,0.32955867052078247
0.3090038001537323,0.32962000370025635
0.15238399803638458,0.3296813666820526
0.15276455879211426,0.21639658510684967
0.15776026248931885,0.2134931981563568
0.1601690798997879,0.21058723330497742
0.15519747138023376,0.20768101513385773
0.1531791090965271,0.2018265575170517
0.1467219442129135,0.19892139732837677
0.13588865101337433,0.19453901052474976
0.12945690751075745,0.1886833906173706
0.11864502727985382,0.18430188298225403
0.10351292043924332,0.17844435572624207
0.0841178223490715,0.17111308872699738
0.06923216581344604,0.1623079925775528
0.05006934329867363,0.15497641265392303
0.026684356853365898,0.1461683213710785
0.003488851711153984,0.13588598370552063
0.0,0.1256033331155777
0.0,0.11679217964410782
0.0,0.10503039509057999
0.0,0.09179529547691345
0.0,0.07855916023254395
0.0,0.06679423898458481
0.0,0.05502587929368019
0.0,0.03148237243294716
0.0,0.021181104704737663
0.0,0.009402649477124214
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.05863682180643082
0.0,0.06291048228740692
0.00997406430542469,0.06881282478570938
0.022319070994853973,0.0732409730553627
0.043141577392816544,0.07619747519493103
0.05925390496850014,0.0821036621928215
0.075090691447258,0.0865342766046524
0.09938178211450577,0.09096715599298477
0.11894083023071289,0.09834866225719452
0.1294858455657959,0.10425486415624619
0.15294551849365234,0.1072157546877861
0.1629919409751892,0.11460170149803162
0.17725719511508942,0.1175631582736969
0.19132819771766663,0.1264428049325943
0.20590564608573914,0.1294092983007431
0.2109055519104004,0.13090382516384125
0.22021591663360596,0.1324000358581543
0.2207016497850418,0.1353921890258789
0.2260282337665558,0.13689060509204865
0.22215233743190765,0.13691404461860657
0.21835651993751526,0.13546498119831085
0.20591920614242554,0.12962105870246887
0.1858556866645813,0.12817463278770447
0.17391927540302277,0.12230368703603745
0.1577950268983841,0.11790958791971207
0.13753558695316315,0.10469566285610199
0.09782540798187256,0.0973517894744873
0.07399089634418488,0.09000667184591293
0.04609508067369461,0.08118617534637451
0.018543172627687454,0.07089156657457352
3.7017241993453354e-05,0.06059644743800163
